,segment_crop_sales___output___ethiopia_2015,crop_sales___output___ethiopia_2015,latitude___ethiopia_2015,longitude___ethiopia_2015,number_of_hired_workers___policy___ethiopia_2015,land_surface___ethiopia_2015,quantity_of_chemical_fertilizers_used___policy___ethiopia_2015,number_of_oxen_owned___policy___ethiopia_2015,household_size___ethiopia_2015,number_of_plough_owned___policy___ethiopia_2015,uses_extension_program___policy___ethiopia_2015
47,3,837.0063431565491,14.0859773206,38.9755077144,0.0,4165.96,100.0,2.0,5.0,0.0,1.0
48,3,489.76828308131775,13.985946938,38.6492990176,4.0,24958.4,150.0,2.0,3.0,2.0,1.0
49,3,454.37487199926943,13.8713387734,38.636690701599996,27.0,3786.1,75.0,0.0,6.0,0.0,0.0
50,1,23.91446694732997,14.252706525399999,39.6508902034,0.0,4885.93,25.0,2.0,6.0,1.0,1.0
51,0,33.48025372626196,14.252706525399999,39.6508902034,0.0,8823.800000000003,35.0,1.0,6.0,1.0,1.0
52,0,239.14466947329967,14.252706525399999,39.6508902034,0.0,3866.23,40.0,0.0,2.0,1.0,1.0
53,2,27.740781658902765,14.319217469100002,39.2715992602,0.0,6038.759999999998,100.0,1.0,6.0,1.0,1.0
54,3,366.8479229720417,14.319217469100002,39.2715992602,0.0,17006.879999999994,200.0,2.0,9.0,2.0,1.0
55,2,90.87497439985388,13.984370506600001,39.5331294187,0.0,11667.43,62.0,1.0,5.0,2.0,0.0
56,2,110.00654795771786,13.984370506600001,39.5331294187,4.0,12505.169999999998,50.0,1.0,3.0,1.0,0.0
57,0,100.44076117878588,13.984370506600001,39.5331294187,0.0,19666.07,200.0,2.0,8.0,2.0,1.0
58,3,215.23020252596973,13.984370506600001,39.5331294187,0.0,12728.19,150.0,1.0,11.0,2.0,1.0
59,3,76.52629423145589,13.984370506600001,39.5331294187,0.0,12386.49,100.0,1.0,4.0,1.0,1.0
60,2,38.74143645467456,13.984370506600001,39.5331294187,0.0,7023.0099999999975,50.0,1.0,4.0,1.0,0.0
61,2,113.83286266929063,13.984370506600001,39.5331294187,0.0,16857.920000000002,175.0,2.0,5.0,4.0,0.0
62,2,478.28933894659934,13.8014265472,39.6182529669,0.0,12421.82,100.0,2.0,7.0,0.0,1.0
63,2,17.218416202077574,13.8014265472,39.6182529669,0.0,11607.23,100.0,1.0,3.0,0.0,1.0
64,2,100.44076117878588,13.8014265472,39.6182529669,0.0,7963.150000000002,100.0,0.0,4.0,1.0,1.0
65,1,23.91446694732997,13.895387614,39.7873002106,7.0,6346.09,0.0,0.0,4.0,1.0,0.0
66,2,320.45385709422163,13.895387614,39.7873002106,0.0,7543.629999999999,150.0,2.0,5.0,2.0,1.0
67,0,463.9406587782014,13.895387614,39.7873002106,5.0,3738.150000000001,38.0,0.0,2.0,0.0,1.0
68,2,248.71045625223167,13.895387614,39.7873002106,0.0,4534.6799999999985,38.0,0.0,4.0,1.0,1.0
69,0,463.9406587782014,13.895387614,39.7873002106,23.0,10378.740000000002,75.0,2.0,6.0,3.0,1.0
70,2,229.57888269436768,13.234957733599998,39.1634392625,0.0,26442.5,100.0,1.0,8.0,1.0,1.0
71,2,501.72551655498273,13.234957733599998,39.1634392625,0.0,36984.26000000002,150.0,1.0,4.0,1.0,1.0
72,1,631.3419274095113,13.234957733599998,39.1634392625,0.0,32317.43,110.0,2.0,7.0,2.0,1.0
73,0,430.46040505193946,13.234957733599998,39.1634392625,0.0,18616.800000000007,160.0,1.0,4.0,1.0,0.5
74,0,344.3683240415516,13.234957733599998,39.1634392625,0.0,27039.980000000003,150.0,2.0,6.0,2.0,1.0
75,3,682.9971760157439,13.234957733599998,39.1634392625,0.0,26404.07,112.0,3.0,3.0,2.0,1.0
76,1,373.0656843783476,13.234957733599998,39.1634392625,0.0,18704.56,125.0,0.0,5.0,1.0,1.0
77,1,1143.1115200823724,13.234957733599998,39.1634392625,0.0,19132.88,217.0,2.0,4.0,2.0,1.0
78,1,143.48680168397982,13.234957733599998,39.1634392625,0.0,13923.35,150.0,0.0,5.0,2.0,1.0
79,2,231.9703293891007,13.234957733599998,39.1634392625,0.0,27686.929999999997,150.0,1.0,5.0,3.0,1.0
80,2,405.11107008776963,13.282024021600002,39.4405203839,0.0,11358.52,0.0,0.0,3.0,0.0,0.0
81,2,1300.9470019347505,13.282024021600002,39.4405203839,0.0,21973.22,150.0,2.0,7.0,0.0,0.0
82,2,430.46040505193946,13.282024021600002,39.4405203839,0.0,20752.36,100.0,2.0,7.0,2.0,0.0
83,2,272.62492319956164,13.282024021600002,39.4405203839,0.0,14172.990000000002,100.0,2.0,7.0,2.0,0.0
84,2,286.97360336795964,13.282024021600002,39.4405203839,0.0,27237.0,100.0,1.0,5.0,2.0,1.0
85,2,3089.7491295950317,13.282024021600002,39.4405203839,17.0,22039.86,100.0,3.0,2.0,0.0,0.0
86,2,860.9208101038789,13.282024021600002,39.4405203839,0.0,21453.7,90.0,2.0,8.0,2.0,1.0
87,0,3236.105667312692,13.282024021600002,39.4405203839,2.0,32160.65,170.0,2.0,8.0,2.0,0.0
88,2,1870.1113152812038,13.282024021600002,39.4405203839,0.0,664.1,0.0,0.0,2.0,0.0,0.0
89,0,1410.9535498924686,13.01685124,39.3671636164,0.0,4730.49,50.0,0.0,9.0,2.0,0.5
90,2,120.52891341454304,13.01685124,39.3671636164,0.0,286.79,0.0,0.0,4.0,0.0,0.0
91,0,408.9373847993425,13.01685124,39.3671636164,0.0,1622.97,25.0,0.0,7.0,1.0,0.0
92,0,765.262942314559,13.01685124,39.3671636164,0.0,3484.96,0.0,0.0,2.0,2.0,0.0
93,1,741.3484753672292,13.01685124,39.3671636164,0.0,5130.31,50.0,0.0,2.0,1.0,0.0
94,2,2204.9138525438234,13.01685124,39.3671636164,0.0,8098.41,75.0,1.0,7.0,1.0,1.0
95,2,2779.3393486186887,13.01685124,39.3671636164,0.0,6911.35,111.0,2.0,8.0,2.0,1.0
96,0,730.8261099104037,13.01685124,39.3671636164,0.0,2370.19,25.0,0.0,2.0,2.0,0.0
97,0,932.6642109458687,13.01685124,39.3671636164,0.0,3130.45,50.0,0.0,4.0,0.0,1.0
98,2,765.262942314559,13.01685124,39.3671636164,0.0,3075.13,50.0,0.0,5.0,0.0,0.0
99,2,1013.9733985667908,13.01685124,39.3671636164,0.0,4593.7,50.0,0.0,5.0,0.0,1.0
100,2,382.6314711572795,12.782626815799999,39.3068867968,0.0,22832.42,50.0,2.0,6.0,1.0,1.0
101,0,162.61837524184378,12.782626815799999,39.3068867968,0.0,22467.19,50.0,2.0,8.0,1.0,0.0
102,2,40.65459381046095,12.782626815799999,39.3068867968,0.0,11640.92,100.0,1.0,6.0,1.0,1.0
103,0,4.782893389465994,12.782626815799999,39.3068867968,0.0,28697.27,50.0,2.0,7.0,2.0,1.0
104,2,999.6247183983928,12.782626815799999,39.3068867968,0.0,13226.35,100.0,2.0,7.0,1.0,1.0
105,2,650.4735009673751,12.782626815799999,39.3068867968,0.0,26496.84,50.0,2.0,7.0,2.0,1.0
106,2,143.48680168397982,12.782626815799999,39.3068867968,0.0,17701.730000000003,50.0,2.0,5.0,1.0,1.0
107,2,4017.630447151435,12.6231333276,39.6516820917,0.0,28249.07,0.0,4.0,9.0,2.0,0.0
108,2,38.26314711572795,12.6231333276,39.6516820917,0.0,2117.56,0.0,2.0,5.0,2.0,0.0
109,2,15592.232449659141,12.6231333276,39.6516820917,4.0,18500.04,50.0,0.0,8.0,1.0,0.0
110,2,2582.7624303116368,12.6209662316,39.4244520175,0.0,13148.919999999998,75.0,1.0,8.0,1.0,1.0
111,1,1913.1573557863974,12.6209662316,39.4244520175,0.0,6622.43,38.0,1.0,4.0,1.0,1.0
112,2,1721.8416202077578,12.6209662316,39.4244520175,0.0,8783.299999999997,38.0,2.0,4.0,1.0,1.0
113,0,114.78944134718384,12.6209662316,39.4244520175,0.0,10884.2,9.0,2.0,9.0,1.0,1.0
114,0,11096.312663561106,14.181991493800002,36.479993089299995,112.0,364759.0,1500.0,0.0,6.0,0.0,1.0
115,3,669.6050745252393,14.181991493800002,36.479993089299995,5.0,32477.26,0.0,0.0,4.0,0.0,0.0
116,2,5122.478820118079,14.087235066400002,37.5015263838,13.0,24040.74,100.0,2.0,6.0,4.0,1.0
117,2,286.97360336795964,14.087235066400002,37.5015263838,0.0,6358.579999999999,0.0,0.0,6.0,1.0,0.0
118,2,813.0918762092191,14.087235066400002,37.5015263838,3.0,16896.489999999998,0.0,0.0,6.0,1.0,1.0
119,3,10952.825861877123,14.087235066400002,37.5015263838,2.0,67409.91,50.0,4.0,4.0,2.0,0.5
120,3,2762.120932416612,14.087235066400002,37.5015263838,2.0,18039.41,0.0,0.0,3.0,1.0,0.0
121,0,358.71700420994955,14.087235066400002,37.5015263838,1.0,12067.81,0.0,0.0,7.0,2.0,0.0
122,2,3443.6832404155157,14.087235066400002,37.5015263838,4.0,17907.12,0.0,2.0,1.0,0.0,1.0
123,0,1941.8547161231934,13.6709932967,37.406425650100005,0.0,11993.74,100.0,1.0,5.0,1.0,1.0
124,2,2582.7624303116368,13.6709932967,37.406425650100005,25.0,16424.44,116.0,2.0,7.0,2.0,1.0
125,0,2295.788826943677,13.6709932967,37.406425650100005,0.0,16143.4,50.0,2.0,7.0,2.0,1.0
126,3,3587.1700420994953,13.6709932967,37.406425650100005,0.0,2219.24,150.0,1.0,4.0,1.0,1.0
127,0,1473.131163955526,13.6709932967,37.406425650100005,5.0,7190.33,0.0,1.0,3.0,1.0,0.0
128,0,358.71700420994955,13.6709932967,37.406425650100005,12.0,31025.1,100.0,2.0,7.0,2.0,1.0
129,0,239.14466947329967,13.731570435999998,37.3672533162,10.0,24385.4,0.0,2.0,4.0,2.0,1.0
130,0,2702.3347650482865,13.731570435999998,37.3672533162,0.0,29060.800000000007,0.0,1.0,4.0,1.0,1.0
131,0,1530.525884629118,13.731570435999998,37.3672533162,0.0,5940.4,50.0,1.0,4.0,0.0,1.0
132,1,5739.472067359193,13.731570435999998,37.3672533162,0.0,28817.0,0.0,3.0,6.0,2.0,1.0
133,0,3587.1700420994953,13.797501018599998,37.451851050900004,0.0,6584.299999999998,0.0,2.0,5.0,2.0,1.0
134,1,4472.005319150704,13.731570435999998,37.3672533162,0.0,46235.4,110.0,3.0,9.0,1.0,1.0
135,1,4878.551257255313,13.8351102558,37.4103917923,0.0,158.2,0.0,0.0,6.0,1.0,0.0
136,3,4304.604050519394,13.731570435999998,37.3672533162,0.0,13021.5,50.0,1.0,4.0,1.0,1.0
137,0,5309.0116623072545,13.731570435999998,37.3672533162,2.0,20146.2,26.0,2.0,5.0,1.0,1.0
138,3,3587.1700420994953,13.4774390358,37.121337841999996,20.0,9104.87,0.0,2.0,6.0,2.0,1.0
139,1,4735.064455571333,13.4774390358,37.121337841999996,0.0,27013.05,0.0,2.0,3.0,1.0,1.0
140,0,11478.944134718386,13.4774390358,37.121337841999996,19.0,28635.08,50.0,4.0,8.0,2.0,1.0
141,1,13726.904027767405,13.4774390358,37.121337841999996,4.0,33374.65,100.0,4.0,8.0,0.0,1.0
142,1,2152.302025259697,13.4774390358,37.121337841999996,20.0,25527.9,0.0,2.0,5.0,1.0,1.0
143,0,11478.944134718386,13.4774390358,37.121337841999996,2.564777327935223,206.44,100.0,0.0,5.0,2.0,0.0
144,2,8130.918762092188,13.4774390358,37.121337841999996,39.0,42780.53,0.0,3.0,8.0,2.0,1.0
145,2,7987.431960408209,13.4774390358,37.121337841999996,45.0,41983.56,50.0,2.0,8.0,2.0,1.0
146,3,4017.630447151435,13.5160575022,37.6273155648,0.0,59197.12,0.0,4.0,6.0,4.0,1.0
147,2,4591.577653887354,13.5160575022,37.6273155648,16.0,27328.37,0.0,2.0,3.0,4.0,1.0
148,2,4687.235521676675,13.566340141400001,37.7149617426,0.0,12057.11,0.0,2.0,6.0,3.0,1.0
149,2,11478.944134718386,13.5160575022,37.6273155648,0.0,57432.5,0.0,2.0,4.0,3.0,1.0
150,2,3443.6832404155157,13.5160575022,37.6273155648,0.0,27586.98,0.0,2.0,5.0,3.0,1.0
151,0,3443.6832404155157,13.5160575022,37.6273155648,0.0,17518.0,0.0,2.0,6.0,2.0,1.0
152,2,4591.577653887354,13.5160575022,37.6273155648,0.0,32831.740000000005,3.0,2.0,9.0,4.0,0.0
153,0,4304.604050519394,13.5160575022,37.6273155648,12.0,40326.19,50.0,3.0,6.0,3.0,1.0
154,0,6456.90607577909,13.5160575022,37.6273155648,56.0,48346.91,100.0,2.0,8.0,3.0,1.0
155,0,3826.3147115727947,13.5160575022,37.6273155648,2.0,11758.17,0.0,1.0,1.0,2.0,0.0
156,1,2391.446694732997,11.527803538199999,41.5207097044,0.0,15715.85,0.0,0.0,3.0,1.0,1.0
157,0,478.28933894659934,11.527803538199999,41.5207097044,0.0,21137.32,0.0,0.0,4.0,0.0,0.0
158,0,2563.630856753773,11.527803538199999,41.5207097044,0.0,19174.17,0.0,0.0,7.0,1.0,0.0
159,2,4352.432984414055,11.527803538199999,41.5207097044,0.0,17201.29,0.0,0.0,5.0,1.0,0.0
160,0,5619.899732622543,11.527803538199999,41.5207097044,0.0,24175.9,0.0,2.0,7.0,1.0,1.0
161,0,717.4340084198991,11.527803538199999,41.5207097044,0.0,10059.149999999998,0.0,0.0,7.0,2.0,0.0
162,1,717.4340084198991,11.5223288693,41.5692958857,0.0,49294.72,0.0,1.0,6.0,1.0,0.0
163,0,2391.446694732997,11.5223288693,41.5692958857,0.0,31677.12,0.0,1.0,9.0,1.0,0.0
164,0,430.46040505193946,11.674194561099998,40.095532875500005,0.0,3228.72,0.0,0.0,6.0,0.0,0.0
165,2,956.5786778931987,9.67897313862,39.913593504,0.0,12888.03,50.0,2.0,5.0,2.0,1.0
166,1,1573.571925134312,13.372227439300001,37.7898736298,0.0,12082.98,0.0,1.0,8.0,1.0,0.0
167,2,755.697155535627,13.372227439300001,37.7898736298,0.0,25878.26,0.0,0.0,5.0,1.0,0.0
168,2,167.40126863130982,13.372227439300001,37.7898736298,0.0,1383.78,0.0,0.0,2.0,0.0,0.0
169,0,2053.296132097751,13.372227439300001,37.7898736298,1.0,19807.68,50.0,2.0,8.0,1.0,0.0
170,2,1073.7595659351157,13.372227439300001,37.7898736298,5.0,13280.08,0.0,2.0,6.0,1.0,0.0
171,0,2848.2130134269987,13.372227439300001,37.7898736298,0.0,19175.74,0.0,2.0,5.0,1.0,0.0
172,2,1181.3746671981005,13.372227439300001,37.7898736298,8.0,12190.09,0.0,0.0,6.0,1.0,0.0
173,2,38.26314711572795,13.2058110304,37.7876552215,0.0,61552.83,0.0,0.0,4.0,1.0,0.0
174,0,358.71700420994955,13.2058110304,37.7876552215,0.0,50912.59999999999,0.0,1.0,10.0,2.0,0.0
175,2,358.71700420994955,13.2058110304,37.7876552215,0.0,19232.11,25.0,3.0,7.0,1.0,0.0
176,2,518.9439327570603,13.2058110304,37.7876552215,0.0,26614.65,0.0,2.0,6.0,1.0,0.0
177,2,3019.9188861088287,12.805251571,37.4183801156,0.0,18266.25,0.0,2.0,6.0,1.0,0.0
178,2,2360.836177040415,12.805251571,37.4183801156,0.0,27830.849999999995,24.0,1.0,5.0,1.0,0.0
179,2,1052.2365456825187,12.805251571,37.4183801156,0.0,8327.0,0.0,0.0,6.0,1.0,0.0
180,2,3026.614936854081,12.805251571,37.4183801156,0.0,5065.549999999998,0.0,2.0,4.0,1.0,0.0
181,0,1644.3587472984086,12.805251571,37.4183801156,0.0,39937.23,100.0,2.0,6.0,1.0,1.0
182,2,1108.6746876782174,12.805251571,37.4183801156,0.0,24783.87,100.0,2.0,4.0,2.0,1.0
183,2,1719.450173513025,12.805251571,37.4183801156,0.0,27770.72,100.0,2.0,4.0,1.0,1.0
184,0,803.526089430287,12.805251571,37.4183801156,0.0,25003.99,100.0,2.0,4.0,1.0,1.0
185,2,191.31573557863976,12.338496255899999,37.6750209615,0.0,4541.08,13.0,0.0,5.0,1.0,0.0
186,2,239.14466947329967,12.338496255899999,37.6750209615,0.0,5335.6,26.0,0.0,5.0,1.0,0.0
187,0,1195.7233473664985,12.338496255899999,37.6750209615,0.0,9364.8,0.0,2.0,7.0,2.0,0.0
188,2,841.789236546015,12.338496255899999,37.6750209615,0.0,19683.95,0.0,2.0,7.0,1.0,0.0
189,2,46.87235521676674,12.338496255899999,37.6750209615,0.0,1091.0,0.0,0.0,1.0,0.0,0.0
190,1,95.65786778931988,12.338496255899999,37.6750209615,0.0,10348.3,75.0,1.0,5.0,1.0,1.0
191,0,357.28213619310975,12.338496255899999,37.6750209615,0.0,26694.2,75.0,1.0,5.0,1.0,0.0
192,3,236.7532227785667,12.338496255899999,37.6750209615,0.0,12094.669999999998,0.0,1.0,5.0,1.0,0.0
193,1,569.1643133464532,12.338496255899999,37.6750209615,0.0,12490.41,54.0,2.0,6.0,1.0,0.0
194,0,107.61510126298487,12.801715532100001,36.93031443,0.0,2054.89,0.0,4.0,2.0,1.0,0.0
195,2,3888.4923256358534,12.801715532100001,36.93031443,0.0,25565.2,0.0,3.0,1.0,1.0,0.0
196,2,3084.966236205566,12.801715532100001,36.93031443,0.0,36837.34,0.0,4.0,5.0,1.0,0.0
197,0,2200.130959154357,12.801715532100001,36.93031443,0.0,17959.4,0.0,2.0,3.0,1.0,0.0
198,2,5930.7878029378335,12.801715532100001,36.93031443,0.0,47766.33,0.0,4.0,6.0,1.0,0.0
199,0,95.65786778931988,12.878057526900001,36.9851395735,0.0,11323.44,0.0,2.0,5.0,1.0,0.0
200,1,1339.2101490504785,12.801715532100001,36.93031443,0.0,47468.18,0.0,4.0,9.0,1.0,1.0
201,2,4868.985470476382,12.801715532100001,36.93031443,0.0,30754.35,0.0,2.0,7.0,0.0,0.0
202,0,191.31573557863976,12.801715532100001,36.93031443,0.0,12479.579999999998,0.0,2.0,5.0,1.0,0.0
203,0,4782.893389465994,12.801715532100001,36.93031443,0.0,43137.359999999986,0.0,4.0,6.0,2.0,0.0
204,0,12196.378143138283,12.391070353499998,35.9335894324,42.0,124083.02,25.0,6.0,5.0,0.0,0.0
205,0,4472.005319150704,12.391070353499998,35.9335894324,16.0,74086.19,0.0,6.0,8.0,2.0,0.0
206,0,4065.459381046095,12.391070353499998,35.9335894324,2.0,21124.32,0.0,0.0,2.0,0.0,0.0
207,2,5356.840596201913,12.391070353499998,35.9335894324,15.0,17403.91,0.0,2.0,3.0,0.0,0.0
208,0,0.9565786778931988,11.3508873749,38.2271249275,0.0,5298.0,0.0,0.0,3.0,1.0,0.0
209,2,5835.129935148512,12.391070353499998,35.9335894324,10.0,50857.62,0.0,2.0,4.0,0.0,0.0
210,2,1071.3681192403826,12.3059878852,37.8380133833,0.0,13783.6,25.0,0.0,9.0,2.0,1.0
211,2,114.78944134718384,12.3059878852,37.8380133833,0.0,4846.71,1.0,0.0,3.0,0.0,0.0
212,2,3491.512174310176,12.3059878852,37.8380133833,0.0,27376.7,104.0,3.0,6.0,2.0,0.0
213,2,286.97360336795964,12.3059878852,37.8380133833,0.0,5311.8,17.0,0.0,5.0,1.0,0.0
214,0,530.9011662307254,12.3059878852,37.8380133833,0.0,16771.64,0.0,2.0,8.0,1.0,0.0
215,2,258.2762430311637,12.3059878852,37.8380133833,0.0,11369.6,50.0,2.0,6.0,1.0,0.0
216,0,124.35522812611583,12.3059878852,37.8380133833,0.0,10864.9,42.0,1.0,4.0,0.0,0.0
217,2,215.23020252596973,12.356296733199999,38.4524416164,0.0,59518.48,0.0,4.0,10.0,4.0,0.0
218,0,143.48680168397982,12.356296733199999,38.4524416164,0.0,32567.96,0.0,1.0,7.0,1.0,0.0
219,0,143.48680168397982,12.356296733199999,38.4524416164,0.0,11792.05,0.0,2.0,3.0,1.0,0.0
220,0,119.57233473664984,12.356296733199999,38.4524416164,0.0,31208.88,0.0,2.0,6.0,0.0,0.0
221,0,1363.1246159978082,12.356296733199999,38.4524416164,0.0,32965.29,0.0,1.0,3.0,2.0,0.0
222,2,277.4078165890277,12.356296733199999,38.4524416164,1.0,27308.460000000006,0.0,2.0,7.0,2.0,0.0
223,0,2295.788826943677,12.0498233904,37.8003237608,0.0,10790.079999999998,150.0,2.0,5.0,0.0,1.0
224,1,3716.308163615077,12.0498233904,37.8003237608,0.0,15157.12,25.0,1.0,4.0,0.0,1.0
225,0,956.5786778931987,12.0498233904,37.8003237608,0.0,13313.43,100.0,1.0,3.0,2.0,1.0
226,3,1865.3284218917374,12.0498233904,37.8003237608,0.0,10422.6,100.0,2.0,7.0,1.0,1.0
227,0,1951.4205029021252,12.0498233904,37.8003237608,0.0,2666.3899999999994,50.0,0.0,3.0,0.0,0.5
228,2,437.6347451361385,12.0498233904,37.8003237608,0.0,17985.95,70.0,2.0,7.0,0.0,1.0
229,3,1858.1540818075387,12.0498233904,37.8003237608,5.0,17721.02,100.0,2.0,4.0,0.0,0.0
230,2,2534.933496416977,12.0498233904,37.8003237608,0.0,9777.78,50.0,2.0,5.0,0.0,0.0
231,1,2391.446694732997,12.0498233904,37.8003237608,0.0,17024.67,100.0,2.0,5.0,2.0,1.0
232,0,3539.341108204836,12.0498233904,37.8003237608,0.0,22124.85,50.0,2.0,9.0,0.0,1.0
233,0,210.4473091365037,11.6454398842,38.4188571016,5.0,8162.54,50.0,1.0,5.0,1.0,1.0
234,0,90.87497439985388,11.6454398842,38.4188571016,0.0,7529.71,12.0,1.0,4.0,1.0,1.0
235,3,143.48680168397982,11.6454398842,38.4188571016,0.0,12817.63,0.0,2.0,5.0,1.0,0.0
236,2,114.78944134718384,11.6454398842,38.4188571016,0.0,2604.74,0.0,0.0,3.0,1.0,0.0
237,0,86.0920810103879,11.6454398842,38.4188571016,0.0,13325.5,50.0,2.0,6.0,1.0,1.0
238,2,95.65786778931988,11.6454398842,38.4188571016,0.0,7735.45,0.0,1.0,6.0,1.0,0.0
239,2,176.96705541024178,11.6454398842,38.4188571016,0.0,10508.79,0.0,3.0,5.0,1.0,0.0
240,2,47.82893389465994,11.238573235699999,38.311340877,0.0,1445.3200000000004,0.0,0.0,1.0,1.0,0.0
241,2,1999.2494367967852,11.238573235699999,38.311340877,0.0,24598.57,13.0,2.0,4.0,2.0,1.0
